,0
0,0001090872
1,0001675149
2,
3,0001708646
4,0001829432
5,0001420529
6,0001844817
7,0001422142
8,0001408970
9,0001209028
10,0000006201
11,0001555074
12,0000008177
13,0001411494
14,0001821393
15,0001158114
16,0000824142
17,0001158449
18,0000320193
19,0001838883
20,0001500217
21,0000943034
22,0001015647
23,0001135185
24,0001100663
25,0000825313
26,0001091587
27,0001551152
28,0001140859
29,0000351569
30,0001703057
31,0001492074
32,0000318306
33,0001565025
34,0001144980
35,0001833764
36,0000907654
37,0000771497
38,0000815094
39,0001559720
40,0001576885
41,0001253986
42,0001672688
43,0001071058
44,0000001800
45,0001642081
46,0001447028
47,0001173313
48,0001642122
49,0001739445
50,0001893219
51,0001070494
52,0001836274
53,0001869141
54,0001897245
55,0001683541
56,0001844389
57,0001283630
58,0001481646
59,0000712034
60,0001850316
61,0001698991
62,0001069308
63,0001414040
64,0001720580
65,0001813658
66,0000947484
67,0001161611
68,0001520697
69,0001830749
70,0001824502
71,0000949858
72,0001646972
73,0001838614
74,0000810972
75,0001651625
76,0000935036
77,0001790121
78,0001113232
79,0001786205
80,0000868857
81,0001680062
82,0001467373
83,0000715579
84,0001008848
85,0001503290
86,0001837393
87,0001332551
88,0001529377
89,0001847891
90,0001557746
91,0001427925
92,0001444192
93,0001823529
94,0001842279
95,0000934549
96,0000002098
97,0001636289
98,0001637873
99,0000930667
100,0001736243
101,0001036848
102,0001818838
103,0001853928
104,0001621227
105,0000796343
106,0000917251
107,0001771910
108,0001822912
109,0001515156
110,0001830029
111,0001832038
112,0000006281
113,0001513525
114,0000007084
115,0001368514
116,0000887247
117,0001744494
118,0001670541
119,0001824884
120,0000008670
121,0001478320
122,0001823584
123,0001169717
124,0001864032
125,0001101215
126,0001879248
127,0000769397
128,0001703056
129,0001838672
130,0000926282
131,0001726711
132,0001468328
133,0001776661
134,0001501756
135,0000002230
136,0001574232
137,0000002178
138,0001827392
139,0001852016
140,0001002910
141,0000846676
142,0000769218
143,0001869974
144,0001470683
145,0001040470
146,0001750106
147,0000927003
148,0001039828
149,0000002809
150,0000882291
151,0001572621
152,0000919012
153,0000004904
154,0001378789
155,0001872356
156,0001337553
157,0000874761
158,0001708341
159,0001789029
160,0000874292
161,0001362190
162,0001113423
163,0001849489
164,0001841661
165,0001162027
166,0001823406
167,0001822523
168,0001042046
169,0001655075
170,0001522860
171,0001137360
172,0000004977
173,0001667919
174,0001608390
175,0001820953
176,0001502573
177,0001865975
178,0001616668
179,0001771007
180,0001308648
181,0001833909
182,0001769624
183,0001830232
184,0000880266
185,0001362481
186,0001708599
187,0001098972
188,0001592016
189,0001800637
190,0001842329
191,0001350487
192,0001178819
193,0001790625
194,0001439222
195,0001831097
196,0001636282
197,0000845877
198,0001705402
199,0001423689
200,0001432353
201,0001273813
202,0001415311
203,0001634997
204,0001826397
205,0001499505
206,0001261249
207,0001593548
208,0001273636
209,0001749704
210,0000100591
211,0000078749
212,0001725255
213,0001702318
214,0001569187
215,0001815436
216,0001267395
217,0001846253
218,0000874710
219,0001856696
220,0001232582
221,0001577526
222,0001882963
223,0001526697
224,0000005272
225,0001757143
226,0001711012
227,0000012239
228,0000946644
229,0001374535
230,0000819793
231,0001604738
232,0001278752
233,0001778114
234,0001667011
235,0000001750
236,0001820877
237,0001272842
238,0001009891
239,0001552740
240,0001870940
241,0000353184
242,0000109563
243,0000922864
244,0001471302
245,0001267238
246,0000354190
247,0000040888
248,0001614806
249,0001865107
250,0001086222
251,0001888014
252,0001517022
253,0001826574
254,0000925261
255,0000899629
256,0001744659
257,0001584754
258,0001541157
259,0001776197
260,0001722271
261,0001711933
262,0001487712
263,0001748621
264,0000915913
265,0001322505
266,0001167379
267,0001849056
268,0000003545
269,0001341235
270,0000066756
271,0001653087
272,0001545654
273,0001833908
274,0000897077
275,0000866291
276,0001097149
277,0001799448
278,0001362468
279,0001832466
280,0001267602
281,0001382298
282,0001809104
283,0001438731
284,0000766421
285,0001520262
286,0001529274
287,0000899051
288,0001579241
289,0001874474
290,0001564824
291,0001737287
292,0001860657
293,0001365767
294,0000040729
295,0001624658
296,0001178670
297,0001883962
298,0000008146
299,0001842939
300,0001626199
301,0001606698
302,0000003153
303,0001159281
304,0001459200
305,0001420565
306,0000903419
307,0001865111
308,0001411207
309,0001326190
310,0001759824
311,0000778164
312,0001701732
313,0001174610
314,0001822366
315,0001034670
316,0001754068
317,0000003499
318,0001810182
319,0001734520
320,0001677077
321,0001623925
322,0001823608
323,0001836056
324,0001843656
325,0000006951
326,0001280263
327,0000874501
328,0001494558
329,0001845097
330,0001411579
331,0001843724
332,0001748790
333,0001514991
334,0000002488
335,0001037868
336,0000896262
337,0001083446
338,0001004434
339,0000318154
340,0001562401
341,0000019617
342,0001591587
343,0001047127
344,0001658551
345,0001142750
346,0001114446
347,0000741516
348,0000046129
349,0001129137
350,0000820027
351,0001411906
352,0001518461
353,0001297184
354,0001835636
355,0001866692
356,0001828723
357,0001533924
358,0001704715
359,0001488139
360,0001591588
361,0000897448
362,0001365916
363,0001723128
364,0000744825
365,0000880807
366,0001018979
367,0001807166
368,0000713425
369,0001053507
370,0001734342
371,0001769731
372,0001801777
373,0000738214
374,0000794619
375,0001393584
376,0001783010
377,0001559109
378,0001018724
379,0000350698
380,0001370053
381,0001829558
382,0001801075
383,0000821026
384,0001815974
385,0001596532
386,0001018840
387,0001871983
388,0001705110
389,0001601485
390,0001275187
391,0000898437
392,0001023024
393,0000715446
394,0001528115
395,0001786511
396,0001013462
397,0001413745
398,0001156039
399,0001477845
400,0001591956
401,0001840877
402,0001379400
403,0001881741
404,0001766478
405,0000315293
406,0000784199
407,0000091142
408,0001387467
409,0001808997
410,0000006176
411,0001841666
412,0001844981
413,0001517302
414,0001862993
415,0001070050
416,0000002969
417,0000744452
418,0001201792
419,0001251769
420,0001796209
421,0001838337
422,0000820313
423,0001802883
424,0001418121
425,0001492422
426,0001697532
427,0001734005
428,0001857662
429,0001849011
430,0001858681
431,0000006845
432,0001751008
433,0001433195
434,0001807707
435,0001441683
436,0000317788
437,0001735803
438,0001781983
439,0001701114
440,0001820872
441,0000884269
442,0001845550
443,0000882361
444,0001481832
445,0001521332
446,0001674365
447,0001671584
448,0001026980
449,0001868573
450,0000719135
451,0001603978
452,0001621832
453,0001174169
454,0001398733
455,0001604643
456,0001433270
457,0001513818
458,0001138723
459,0001861841
460,0001823826
461,0001841675
462,0001305168
463,0000894405
464,0001287750
465,0001740594
466,0001037676
467,0001855886
468,0001508478
469,0001768224
470,0001515324
471,0001614067
472,0001437402
473,0001035443
474,0001648087
475,0001590715
476,0000894871
477,0001176948
478,0001091748
479,0001865377
480,0001697862
481,0001875444
482,0001467760
483,0001865187
484,0001882078
485,0001697748
486,0001823794
487,0000779544
488,0001102238
489,0001736946
490,0001086600
491,0001584509
492,0000921114
493,0001790982
494,0001389050
495,0000717538
496,0001859690
497,0001787306
498,0001428205
499,0001835972
500,0001820721
501,0001844840
502,0001839990
503,0001621221
504,0000863110
505,0000007623
506,0001835059
507,0001655759
508,0000007536
509,0000879407
510,0001838821
511,0001852432
512,0001230869
513,0001834048
514,0001477720
515,0001819510
516,0001824211
517,0000007789
518,0001577437
519,0001868775
520,0001491978
521,0000786035
522,0001793855
523,0000890564
524,0001674862
525,0001506281
526,0001673985
527,0001754170
528,0001722926
529,0000316888
530,0001426800
531,0000937966
532,0001612042
533,0001817358
534,0001854583
535,0001836547
536,0001145986
537,0001462418
538,0001487198
539,0001123452
540,0001808665
541,0000707605
542,0001001907
543,0000792987
544,0001860805
545,0001814329
546,0001780312
547,0000884144
548,0001122411
549,0000876378
550,0000720500
551,0001839191
552,0001825254
553,0001840904
554,0001883788
555,0001841004
556,0001059142
557,0001762459
558,0001794846
559,0001751143
560,0001350653
561,0001882198
562,0001580808
563,0001757715
564,0001304492
565,0000730464
566,0001620463
567,0001131343
568,0001527636
569,0001368148
570,0001527469
571,0001018963
572,0001755058
573,0001815849
574,0001666138
575,0001464343
576,0001132651
577,0000312070
578,0001690080
579,0000879585
580,0001388320
581,0001300699
582,0000731802
583,0001420520
584,0001488039
585,0000896622
586,0001604464
587,0001323885
588,0000701288
589,0000008063
590,0001016169
591,0000894081
592,0001606457
593,0001702780
594,0001831874
595,0000718877
596,0001644963
597,0001454789
598,0001861233
599,0001067428
600,0000883948
601,0000750574
602,0001067837
603,0001086434
604,0001769804
605,0001534154
606,0001011509
607,0001600620
608,0001828108
609,0001501796
610,0001835856
611,0001838207
612,0001730463
613,0001023364
614,0001554818
615,0001811109
616,0001264089
617,0000104918
618,0001836478
619,0001832332
620,0001504764
621,0001819608
622,0001368622
623,0000915912
624,0001630212
625,0001704760
626,0000005981
627,0001012477
628,0001343304
629,0001858257
630,0001325879
631,0001730168
632,0001506928
633,0001844507
634,0000896841
635,0001593899
636,0001219120
637,0001348036
638,0001606498
639,0001122976
640,0001377789
641,0001802974
642,0001777921
643,0001681087
644,0000008858
645,0001798749
646,0001722482
647,0001534120
648,0001314052
649,0000008818
650,0001418100
651,0000906013
652,0000926617
653,0000007431
654,0001410636
655,0001390195
656,0001056903
