,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,currency_symbol,base_currency_symbol,base_currency_name,Market Cap,IPO Year,Sector,Industry
0,A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000C2V3D6,BBG001SCTQY4,2022-03-22T00:00:00Z,,,,41751773008.0,1999.0,Capital Goods,Electrical Products
1,AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2022-03-22T00:00:00Z,,,,15284625958.0,2016.0,Basic Industries,Metal Fabrications
2,AAA,AAF First Priority CLO Bond ETF,stocks,us,ARCX,ETF,True,usd,,BBG00X5FSP48,BBG00X5FSPZ4,2022-03-22T00:00:00Z,,,,,,,
3,AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,True,usd,0001708646,BBG00LPXX872,BBG00LPXX8Z1,2022-03-22T00:00:00Z,,,,,,,
4,AAC,Ares Acquisition Corporation,stocks,us,XNYS,CS,True,usd,0001829432,,,2022-03-22T00:00:00Z,,,,1221250000.0,2021.0,Finance,Business Services
7,AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001420529,BBG000V2S3P6,BBG001T125S9,2022-03-22T00:00:00Z,,,,44868996.0,,Miscellaneous,Service to the Health Industry
8,AACI,Armada Acquisition Corp. I Common Stock,stocks,us,XNAS,CS,True,usd,0001844817,BBG011XR7306,BBG011XR7315,2022-03-22T00:00:00Z,,,,203885028.0,2021.0,,
11,AADI,"Aadi Bioscience, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001422142,BBG002WN7DT2,BBG002WN7DV9,2022-03-22T00:00:00Z,,,,395941850.0,,Health Care,Biotechnology: Pharmaceutical Preparations
12,AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,True,usd,0001408970,BBG000BDYRW6,BBG001T9B1Y4,2022-03-22T00:00:00Z,,,,,,,
13,AAIC,Arlington Asset Investment Corp.,stocks,us,XNYS,CS,True,usd,0001209028,BBG000BD1373,BBG001S6DRN4,2022-03-22T00:00:00Z,,,,103928950.0,,Consumer Services,Real Estate Investment Trusts
17,AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2022-03-22T00:00:00Z,,,,10873431960.0,,Transportation,Air Freight/Delivery Services
18,AAMC,Altisource Asset Mgmt Corp,stocks,us,XASE,CS,True,usd,0001555074,BBG003PNL136,BBG003PNL145,2022-03-22T00:00:00Z,,,,,,,
