,end_date_volume,vw_x,end_date_open_price,end_date_close_price,end_date_high_price,end_date_low_price,t_x,n_x,ticker,start_date_volume,vw_y,start_date_open_price,start_date_close_price,start_date_high_price,start_date_low_proce,t_y,n_y
0,1600525.0,126.8784,126.49,127.06,127.6404,125.85,1610082000000,19370,A,1585993.0,104.744,103.52,105.24,105.35,103.29,1604293200000,20967
1,3000729.0,25.0032,25.3,24.99,25.47,24.52,1610082000000,22457,AA,5504234.0,23.5663,23.62,23.25,24.45,23.125,1609736400000,30122
2,1221092.0,18.4644,18.78,18.41,18.78,18.2199,1610082000000,1478,AAAU,828215.0,19.3149,19.33,19.35,19.36,19.2243,1609736400000,1192
3,224870.0,3.9788,4.05,3.97,4.0566,3.92,1610082000000,1249,AAIC,236353.0,3.7263,3.83,3.73,3.84,3.665,1609736400000,1164
4,55656357.0,15.2159,15.43,15.13,15.53,15.0,1610082000000,176470,AAL,69732465.0,15.2377,15.85,15.13,15.88,15.03,1609736400000,238614
5,503479.0,20.6074,21.75,20.19,21.75,20.09,1610082000000,5052,AAN,561978.0,18.6162,19.13,18.81,19.25,17.99,1609736400000,4733
6,1473398.0,10.1742,10.11,10.19,10.42,9.93,1610082000000,9254,AAOI,782773.0,8.7625,8.58,8.76,8.97,8.49,1609736400000,5793
7,251396.0,69.3498,70.46,69.31,70.95,68.52,1610082000000,3102,AAON,280004.0,65.0872,66.91,64.71,67.35,64.29,1609736400000,4379
8,105158245.0,131.5657,132.43,132.05,132.63,130.23,1610082000000,800069,AAPL,137668917.0,114.0428,115.01,114.96,115.32,112.78,1601265600000,866145
9,203698.0,28.1498,28.26,28.22,28.3,27.93,1610082000000,2764,AAT,238836.0,27.6872,28.8,27.39,29.21,27.32,1609736400000,2857
10,656358.0,50.8834,51.63,50.78,51.99,50.2659,1610082000000,7602,AAWW,557806.0,55.5318,55.0,55.39,56.56,54.685,1609736400000,9033
